Country_Name,Country_Code,2008_GDP_Dollars,2009_GDP_Dollars,2010_GDP_Dollars,2011_GDP_Dollars,2008_Life_Expectancy_Year,2009_Life_Expectancy_Year,2010_Life_Expectancy_Year,2011_Life_Expectancy_Year
Aruba,ABW,2745251397.0,2498882682.0,2390502793.0,2549720670.0,74.72,74.87,75.02,75.16
Afghanistan,AFG,10109218068.0,12439087077.0,15856574731.0,17804280538.0,59.93,60.48,61.03,61.55
Angola,AGO,88538611205.0,70307163678.0,83799496611.0,111790000000.0,53.24,54.31,55.35,56.33
Albania,ALB,12881353508.0,12044208086.0,11926953214.0,12890866743.0,75.91,76.22,76.56,76.91
Arab World,ARB,2078820000000.0,1796360000000.0,2110060000000.0,2501830000000.0,69.94,70.16,70.35,70.53
United Arab Emirates,ARE,315475000000.0,253547000000.0,289787000000.0,350666000000.0,75.96,76.14,76.33,76.52
Argentina,ARG,361558000000.0,332976000000.0,423627000000.0,530163000000.0,74.95,75.12,75.28,75.44
Armenia,ARM,11662040714.0,8647936748.0,9260284938.0,10142111334.0,72.95,73.12,73.33,73.57
Antigua and Barbuda,ATG,1368431037.0,1224253000.0,1152469074.0,1142042926.0,75.54,75.68,75.82,75.96
Australia,AUS,1054000000000.0,927805000000.0,1146140000000.0,1396650000000.0,81.4,81.54,81.7,81.9
Austria,AUT,430294000000.0,400172000000.0,391893000000.0,431120000000.0,80.43,80.33,80.58,80.98
Azerbaijan,AZE,48852482960.0,44291490421.0,52902703376.0,65951627200.0,70.2,70.6,70.94,71.23
Burundi,BDI,1611835902.0,1781455092.0,2032135247.0,2235820868.0,55.72,56.49,57.23,57.92
Belgium,BEL,518626000000.0,484553000000.0,483548000000.0,527008000000.0,79.68,80.03,80.18,80.59
Benin,BEN,7132787397.0,7097198712.0,6970240895.0,7814081156.0,58.65,59.01,59.32,59.59
Burkina Faso,BFA,8369637065.0,8369175126.0,8979966766.0,10724063458.0,55.62,56.38,57.1,57.76
Bangladesh,BGD,91631278239.0,102478000000.0,115279000000.0,128638000000.0,69.07,69.48,69.88,70.26
Bulgaria,BGR,54409138498.0,51884481410.0,50610058210.0,57418414504.0,72.96,73.41,73.51,74.16
Bahrain,BHR,25710877660.0,22938218085.0,25713271277.0,28776595745.0,75.77,75.91,76.06,76.2
"Bahamas, The",BHS,10526000000.0,9981960000.0,10095760000.0,10070450000.0,72.02,72.07,72.14,72.26
Bosnia and Herzegovina,BIH,19112739664.0,17613836210.0,17176781337.0,18644723861.0,75.67,75.84,76.03,76.22
Belarus,BLR,60763483146.0,50874078052.0,58665088956.0,61757788945.0,70.46,70.41,70.4,70.55
Belize,BLZ,1368625150.0,1335217500.0,1396731700.0,1486595750.0,71.06,71.54,72.06,72.57
Bermuda,BMU,6109928000.0,5806378000.0,5744414000.0,5550771000.0,79.24,79.39,79.29,81.15
Bolivia,BOL,16674324634.0,17339992165.0,19649631451.0,23963033588.0,66.94,67.48,68.01,68.52
Brazil,BRA,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,72.97,73.3,73.62,73.92
Barbados,BRB,4782000000.0,4479950000.0,4529900000.0,4660900000.0,78.18,78.27,78.36,78.46
Brunei Darussalam,BRN,14393099069.0,10732366286.0,13707370737.0,18525319978.0,74.49,74.62,74.74,74.85
Bhutan,BTN,1258332337.0,1264758198.0,1585472534.0,1820207626.0,67.32,67.88,68.38,68.84
Botswana,BWA,10945070442.0,10267133178.0,12786654366.0,15351972230.0,56.68,58.45,60.21,61.91
Central African Republic,CAF,1985240986.0,2059094048.0,2140503193.0,2434792413.0,46.16,46.72,47.31,47.95
Canada,CAN,1549130000000.0,1371150000000.0,1613540000000.0,1789140000000.0,80.7,81.0,81.25,81.45
Central Europe and the Baltics,CEB,1530310000000.0,1287790000000.0,1312310000000.0,1445170000000.0,74.58,74.93,75.29,75.89
Switzerland,CHE,554363000000.0,541507000000.0,583783000000.0,699580000000.0,81.99,82.04,82.25,82.7
Chile,CHL,179638000000.0,172389000000.0,218538000000.0,252252000000.0,78.33,78.56,78.78,78.99
China,CHN,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,73.83,74.12,74.41,74.71
Cote d'Ivoire,CIV,24224905504.0,24277494337.0,24884503951.0,25381615976.0,51.68,52.31,52.96,53.62
Cameroon,CMR,26409781215.0,26017925552.0,26143818510.0,29337006833.0,54.15,54.63,55.1,55.58
"Congo, Dem. Rep.",COD,19788515874.0,18648373312.0,21565720044.0,25839749199.0,55.74,56.35,56.91,57.43
"Congo, Rep.",COG,11859013281.0,9593537551.0,12007880439.0,14425607180.0,58.47,59.32,60.09,60.78
Colombia,COL,241711000000.0,232494000000.0,286104000000.0,334454000000.0,74.96,75.19,75.42,75.66
Comoros,COM,911967428.7,901711442.3,907093130.3,1021746833.0,61.09,61.48,61.86,62.24
Cabo Verde,CPV,1789333749.0,1711817182.0,1664310770.0,1864824081.0,70.79,70.91,71.06,71.24
Costa Rica,CRI,30612927861.0,30562363430.0,37268616184.0,42262694504.0,78.49,78.63,78.77,78.92
Caribbean small states,CSS,69106766833.0,58178987893.0,63286770719.0,68423468920.0,72.44,72.56,72.68,72.8
Cuba,CUB,60806300000.0,62080000000.0,64328000000.0,68990000000.0,78.15,78.26,78.34,78.4
Cyprus,CYP,27839724623.0,25942664629.0,25562264901.0,27426994718.0,79.07,79.24,79.43,79.62
Czech Republic,CZE,235719000000.0,206180000000.0,207478000000.0,227948000000.0,76.98,77.08,77.42,77.87
Germany,DEU,3752370000000.0,3418010000000.0,3417090000000.0,3757700000000.0,79.74,79.84,79.99,80.44
Djibouti,DJI,999105339.3,1049110685.0,1128611700.0,1239144502.0,59.12,59.56,60.06,60.67
Denmark,DNK,353361000000.0,321241000000.0,321995000000.0,344003000000.0,78.45,78.6,79.1,79.8
Dominican Republic,DOM,48288967303.0,48376555306.0,53982886258.0,57811180659.0,71.56,71.81,72.05,72.28
Algeria,DZA,171001000000.0,137211000000.0,161207000000.0,200019000000.0,74.31,74.64,74.94,75.2
East Asia & Pacific (excluding high income),EAP,5987670000000.0,6490710000000.0,7868970000000.0,9614770000000.0,72.5,72.78,73.07,73.36
Early-demographic dividend,EAR,7308260000000.0,7037600000000.0,8547110000000.0,9582350000000.0,67.26,67.66,68.06,68.44
East Asia & Pacific,EAS,14100900000000.0,14526100000000.0,16935100000000.0,19632600000000.0,73.47,73.76,74.01,74.27
Europe & Central Asia (excluding high income),ECA,3310740000000.0,2603320000000.0,3099810000000.0,3831920000000.0,69.7,70.31,70.64,71.22
Europe & Central Asia,ECS,23271900000000.0,20472900000000.0,20947200000000.0,23209700000000.0,75.24,75.64,75.94,76.46
Ecuador,ECU,61762635000.0,62519686000.0,69555367000.0,79276664000.0,74.7,74.9,75.09,75.29
"Egypt, Arab Rep.",EGY,162818000000.0,188982000000.0,218888000000.0,236002000000.0,69.97,70.16,70.35,70.54
Euro area,EMU,14124900000000.0,12915100000000.0,12651400000000.0,13630800000000.0,80.3,80.51,80.75,81.23
Eritrea,ERI,1380188800.0,1856695551.0,2117039512.0,2607739837.0,60.95,61.6,62.19,62.73
Spain,ESP,1635020000000.0,1499100000000.0,1431620000000.0,1488070000000.0,81.18,81.48,81.63,82.48
Estonia,EST,24194039256.0,19652492637.0,19490936349.0,23170239901.0,73.77,74.82,75.43,76.23
Ethiopia,ETH,27066912635.0,32437389116.0,29933790334.0,31952763089.0,59.58,60.64,61.63,62.5
European Union,EUU,19163600000000.0,17126600000000.0,17009600000000.0,18374300000000.0,79.13,79.36,79.63,80.14
Fragile and conflict affected situations,FCS,584365000000.0,544392000000.0,649697000000.0,709497000000.0,57.76,58.19,58.61,59.01
Finland,FIN,283742000000.0,251499000000.0,247800000000.0,273674000000.0,79.57,79.72,79.87,80.47
Fiji,FJI,3523185920.0,2870624636.0,3140508836.0,3774530616.0,66.48,66.56,66.66,66.76
France,FRA,2918380000000.0,2690220000000.0,2642610000000.0,2861410000000.0,81.21,81.41,81.66,82.11
Faroe Islands,FRO,2432415998.0,2268387771.0,2320424601.0,2490807831.0,80.14,80.39,80.59,80.84
"Micronesia, Fed. Sts.",FSM,262868600.0,279966700.0,296525300.0,310502100.0,66.1,66.29,66.47,66.65
Gabon,GAB,15508574820.0,12065138273.0,14358584300.0,18186478120.0,59.9,60.64,61.4,62.17
United Kingdom,GBR,2904040000000.0,2394790000000.0,2452900000000.0,2634900000000.0,79.6,80.05,80.4,80.95
Georgia,GEO,12795076469.0,10766776414.0,11638500814.0,14434568633.0,70.95,71.18,71.46,71.77
Ghana,GHA,28526891010.0,25977847814.0,32174772956.0,39566292433.0,60.22,60.64,61.03,61.38
Guinea,GIN,6964179194.0,6716904569.0,6853467858.0,6785137173.0,55.61,56.28,56.86,57.39
"Gambia, The",GMB,965781078.2,900639534.0,951806368.7,898290989.9,59.01,59.33,59.64,59.92
Guinea-Bissau,GNB,864654795.3,826798659.8,849050127.5,1098379392.0,53.61,54.11,54.63,55.14
Equatorial Guinea,GNQ,19749893536.0,15027795173.0,16298542028.0,21329395901.0,55.07,55.33,55.62,55.94
Greece,GRC,354461000000.0,330000000000.0,299362000000.0,287798000000.0,79.94,80.19,80.39,80.73
Grenada,GRD,825976037.0,771275555.6,771013259.3,778655925.9,73.04,72.96,72.87,72.77
Greenland,GRL,2499107511.0,2529948330.0,2503156061.0,2684467376.0,70.21,70.47,70.86,71.06
Guatemala,GTM,39136954232.0,37734072278.0,41338521638.0,47654783852.0,70.75,71.11,71.48,71.86
Guam,GUM,4621000000.0,4781000000.0,4895000000.0,4928000000.0,77.47,77.71,77.94,78.17
Guyana,GUY,1916994912.0,2061323854.0,2273225042.0,2576024116.0,67.52,67.79,68.06,68.32
High income,HIC,46144100000000.0,43284400000000.0,45352000000000.0,48938300000000.0,79.23,79.52,79.7,79.95
"Hong Kong SAR, China",HKG,219280000000.0,214046000000.0,228638000000.0,248514000000.0,82.38,82.78,82.98,83.42
Honduras,HND,13789727210.0,14486137414.0,15729644901.0,17588097150.0,72.8,73.06,73.32,73.57
Heavily indebted poor countries (HIPC),HPC,426498000000.0,428920000000.0,474041000000.0,529822000000.0,57.43,58.16,58.86,59.53
Croatia,HRV,70494603466.0,62779128128.0,59865977192.0,62399478246.0,75.91,76.17,76.48,76.78
Haiti,HTI,6548530572.0,6584649419.0,6622541529.0,7516834160.0,59.78,60.15,60.51,60.88
Hungary,HUN,157998000000.0,130594000000.0,130923000000.0,140782000000.0,73.7,73.9,74.21,74.86
IBRD only,IBD,16963500000000.0,16461200000000.0,19990800000000.0,23617100000000.0,70.48,70.83,71.16,71.51
IDA & IBRD total,IBT,18258300000000.0,17726900000000.0,21452200000000.0,25284300000000.0,68.05,68.42,68.77,69.13
IDA total,IDA,1300410000000.0,1271510000000.0,1465180000000.0,1668940000000.0,59.95,60.49,61.01,61.5
IDA blend,IDB,651561000000.0,608660000000.0,710857000000.0,821176000000.0,58.24,58.73,59.21,59.66
Indonesia,IDN,510229000000.0,539580000000.0,755094000000.0,892969000000.0,68.48,68.85,69.2,69.54
IDA only,IDX,642111000000.0,658774000000.0,748786000000.0,840446000000.0,60.8,61.37,61.91,62.42
India,IND,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0,65.79,66.24,66.69,67.13
Ireland,IRL,275039000000.0,236316000000.0,222149000000.0,237472000000.0,80.1,80.19,80.74,80.75
"Iran, Islamic Rep.",IRN,406071000000.0,414059000000.0,487070000000.0,583500000000.0,73.03,73.46,73.9,74.35
Iraq,IRQ,131614000000.0,111661000000.0,138517000000.0,185750000000.0,68.19,68.34,68.57,68.85
Iceland,ISL,17905251832.0,13164652894.0,13683689802.0,15158548597.0,81.61,81.75,81.9,82.36
Israel,ISR,215961000000.0,207452000000.0,233733000000.0,261717000000.0,80.95,81.4,81.6,81.66
Italy,ITA,2390730000000.0,2185160000000.0,2125060000000.0,2276290000000.0,81.49,81.64,82.04,82.19
Jamaica,JAM,13680482787.0,12067478478.0,13200286270.0,14413359665.0,74.1,74.07,74.04,74.01
Jordan,JOR,22218617772.0,23974612130.0,26551480959.0,28932299013.0,73.1,73.27,73.43,73.58
Japan,JPN,5037910000000.0,5231380000000.0,5700100000000.0,6157460000000.0,82.59,82.93,82.84,82.59
Kazakhstan,KAZ,133442000000.0,115309000000.0,148047000000.0,192627000000.0,67.02,68.43,68.3,68.98
Kenya,KEN,35895153328.0,37021512049.0,40000088347.0,41953433591.0,58.76,59.93,60.96,61.85
Kyrgyz Republic,KGZ,5139957785.0,4690062255.0,4794357795.0,6197766119.0,68.45,69.1,69.3,69.6
Cambodia,KHM,10351914093.0,10401851851.0,11242275199.0,12829541141.0,65.39,66.01,66.56,67.04
Kiribati,KIR,141042610.3,132420059.3,156120895.2,181705002.6,65.21,65.48,65.77,66.07
"Korea, Rep.",KOR,1002220000000.0,901935000000.0,1094500000000.0,1202460000000.0,79.52,79.97,80.12,80.57
Kuwait,KWT,147396000000.0,105900000000.0,115419000000.0,154028000000.0,73.98,74.16,74.36,74.55
Latin America & Caribbean (excluding high income),LAC,4198030000000.0,3933630000000.0,4904610000000.0,5584690000000.0,73.5,73.7,73.89,74.08
Lao PDR,LAO,5443915121.0,5832915387.0,7127792630.0,8749241114.0,63.27,63.8,64.31,64.8
Lebanon,LBN,29227542760.0,35477299024.0,38419626534.0,40075674295.0,77.91,78.16,78.36,78.51
Liberia,LBR,1726000000.0,1768000000.0,1998000000.0,2398000000.0,58.23,58.97,59.6,60.15
Libya,LBY,87140405361.0,63028320702.0,74773444901.0,34699395524.0,72.17,72.13,72.04,71.96
St. Lucia,LCA,1286720333.0,1278745519.0,1399203481.0,1444269667.0,74.57,74.71,74.85,74.99
Latin America & Caribbean,LCN,4588440000000.0,4312110000000.0,5347160000000.0,6080010000000.0,73.7,73.9,74.1,74.28
Least developed countries: UN classification,LDC,587171000000.0,585597000000.0,672657000000.0,772121000000.0,60.16,60.78,61.39,61.97
Low income,LIC,327078000000.0,335063000000.0,368434000000.0,412389000000.0,58.65,59.29,59.88,60.43
Liechtenstein,LIE,5081432924.0,4504549214.0,5082366478.0,5739977477.0,82.68,81.5,81.84,81.79
Sri Lanka,LKA,40713812310.0,42066217872.0,56725749222.0,65292753005.0,75.16,75.29,75.44,75.61
Lower middle income,LMC,3560010000000.0,3645470000000.0,4462020000000.0,5039220000000.0,65.06,65.48,65.9,66.3
Low & middle income,LMY,17468100000000.0,17053400000000.0,20688600000000.0,24427600000000.0,67.96,68.33,68.68,69.04
Lesotho,LSO,1758534995.0,1773199523.0,2361613520.0,2787951881.0,43.38,44.15,45.1,46.21
Late-demographic dividend,LTE,11650700000000.0,11259800000000.0,13503800000000.0,16461200000000.0,73.38,73.7,73.98,74.32
Lithuania,LTU,47850551149.0,37440673478.0,37120517694.0,43476873413.0,71.81,72.91,73.27,73.56
Luxembourg,LUX,55849686539.0,51370543206.0,53212476812.0,60004630234.0,80.54,80.64,80.63,80.99
Latvia,LVA,35596016664.0,26169854045.0,23757368290.0,28223552825.0,72.42,73.08,73.48,73.58
"Macao SAR, China",MAC,20917444920.0,21475520709.0,28123640999.0,36709860068.0,82.22,82.46,82.7,82.94
Morocco,MAR,92507257784.0,92897320376.0,93216746662.0,101370000000.0,73.55,74.0,74.38,74.7
Moldova,MDA,6054806101.0,5439422031.0,6974960345.0,8414360656.0,68.67,69.12,69.62,70.12
Madagascar,MDG,9413002921.0,8550363975.0,8729936136.0,9892702358.0,62.51,62.94,63.39,63.84
Maldives,MDV,2271646188.0,2345294875.0,2588176055.0,2774351760.0,75.07,75.5,75.9,76.29
Middle East & North Africa,MEA,2648080000000.0,2368420000000.0,2768120000000.0,3282330000000.0,72.09,72.33,72.54,72.74
Mexico,MEX,1109990000000.0,900045000000.0,1057800000000.0,1180490000000.0,75.19,75.13,75.06,75.01
Middle income,MIC,17143100000000.0,16723600000000.0,20318700000000.0,24008800000000.0,68.88,69.24,69.58,69.93
North Macedonia,MKD,9909548411.0,9401731496.0,9407168702.0,10494632699.0,74.32,74.48,74.66,74.85
Mali,MLI,9750822511.0,10181021770.0,10678749467.0,12978107561.0,54.19,54.76,55.25,55.7
Malta,MLT,8977149553.0,8528202278.0,8741059603.0,9500669015.0,79.64,80.24,81.4,80.75
Myanmar,MMR,31862554102.0,36906181381.0,49540813342.0,59977326086.0,62.68,63.09,63.52,63.98
Middle East & North Africa (excluding high income),MNA,1235620000000.0,1196060000000.0,1383650000000.0,1568620000000.0,71.59,71.81,72.01,72.21
Montenegro,MNE,4545674528.0,4159328980.0,4139192053.0,4538199889.0,74.43,74.78,75.15,75.5
Mongolia,MNG,5623216449.0,4583850368.0,7189481824.0,10409797649.0,66.45,66.92,67.38,67.82
Mozambique,MOZ,11494837053.0,10911698204.0,10154238250.0,13131168012.0,51.29,51.74,52.31,53.04
Mauritania,MRT,4031048268.0,3662282133.0,4337794151.0,5166346516.0,62.02,62.27,62.53,62.8
Mauritius,MUS,9990370016.0,9128843109.0,10003670690.0,11518393367.0,72.57,72.88,72.97,73.27
Malawi,MWI,5321012192.0,6191127665.0,6959655571.0,8004000737.0,52.21,53.89,55.56,57.16
Malaysia,MYS,230814000000.0,202258000000.0,255017000000.0,297952000000.0,74.12,74.31,74.49,74.68
North America,NAC,16268100000000.0,15825900000000.0,16611300000000.0,17337300000000.0,78.3,78.65,78.81,78.92
Namibia,NAM,8486721917.0,8876191121.0,11282192605.0,12409629836.0,53.82,55.21,56.66,58.08
Niger,NER,5379299888.0,5373097441.0,5718664505.0,6409184724.0,55.76,56.56,57.33,58.08
Nigeria,NGA,337036000000.0,291880000000.0,363360000000.0,410335000000.0,49.91,50.42,50.9,51.35
Nicaragua,NIC,8496965842.0,8298695145.0,8758622329.0,9774316692.0,71.92,72.17,72.43,72.69
Netherlands,NLD,947998000000.0,868077000000.0,846555000000.0,904086000000.0,80.25,80.55,80.7,81.2
Norway,NOR,462554000000.0,386622000000.0,429131000000.0,498832000000.0,80.59,80.8,81.0,81.3
Nepal,NPL,12545438605.0,12854985464.0,16002656434.0,18913574371.0,66.73,67.18,67.61,68.03
New Zealand,NZL,133280000000.0,121339000000.0,146584000000.0,168462000000.0,80.35,80.7,80.7,80.9
OECD members,OED,45581700000000.0,42671800000000.0,44700100000000.0,48031400000000.0,78.72,78.98,79.15,79.38
Oman,OMN,60905331599.0,48388296489.0,58642392718.0,67937581274.0,75.18,75.44,75.68,75.92
Other small states,OSS,325929000000.0,279233000000.0,324670000000.0,401019000000.0,62.78,63.56,64.31,65.02
Pakistan,PAK,170078000000.0,168153000000.0,177407000000.0,213587000000.0,64.68,64.97,65.26,65.56
Panama,PAN,25155888600.0,27116635600.0,29440300000.0,34686200000.0,76.41,76.6,76.79,76.99
Peru,PER,120551000000.0,120823000000.0,147529000000.0,171762000000.0,73.83,74.12,74.41,74.7
Philippines,PHL,174195000000.0,168335000000.0,199591000000.0,224143000000.0,69.52,69.67,69.82,69.98
Papua New Guinea,PNG,11670678864.0,11619541940.0,14250726290.0,17984816533.0,61.44,61.74,62.03,62.32
Poland,POL,533816000000.0,439796000000.0,479321000000.0,528832000000.0,75.54,75.7,76.25,76.7
Pre-demographic dividend,PRE,951375000000.0,857558000000.0,1014760000000.0,1184970000000.0,55.28,55.94,56.59,57.22
Puerto Rico,PRI,93639300000.0,96385600000.0,98381300000.0,100352000000.0,77.96,78.19,78.42,78.64
Portugal,PRT,262008000000.0,243746000000.0,238303000000.0,244895000000.0,78.52,78.73,79.03,80.47
Paraguay,PRY,24578067861.0,22341754514.0,27215968616.0,33715524704.0,72.25,72.45,72.65,72.86
West Bank and Gaza,PSE,6673500000.0,7268200000.0,8913100000.0,10465400000.0,72.52,72.66,72.79,72.92
Pacific island small states,PSS,6556133688.0,5776686942.0,6416533301.0,7632301836.0,68.12,68.3,68.49,68.68
Post-demographic dividend,PST,43219200000000.0,40729400000000.0,42467900000000.0,45585700000000.0,79.15,79.48,79.69,79.95
Qatar,QAT,115270000000.0,97798351648.0,125122000000.0,167775000000.0,78.78,78.94,79.11,79.26
Romania,ROU,214314000000.0,174104000000.0,166225000000.0,183443000000.0,72.57,73.31,73.46,74.41
Russian Federation,RUS,1660850000000.0,1222640000000.0,1524920000000.0,2051660000000.0,67.95,68.68,68.84,69.68
Rwanda,RWA,4867560259.0,5373088997.0,5783152633.0,6563320570.0,60.61,62.13,63.43,64.52
South Asia,SAS,1527500000000.0,1683490000000.0,2061060000000.0,2271880000000.0,66.01,66.43,66.85,67.26
Saudi Arabia,SAU,519797000000.0,429098000000.0,528207000000.0,671239000000.0,73.6,73.75,73.92,74.09
Sudan,SDN,54526580232.0,53150209168.0,65634109237.0,67327289320.0,61.88,62.33,62.76,63.17
Senegal,SEN,16949789465.0,16248212852.0,16215069256.0,17878780185.0,62.88,63.61,64.28,64.9
Singapore,SGP,193612000000.0,194152000000.0,239809000000.0,279351000000.0,80.79,81.24,81.54,81.74
Solomon Islands,SLB,608229326.7,597765363.1,681151190.0,932725578.8,70.06,70.37,70.67,70.98
Sierra Leone,SLE,2505458705.0,2453899847.0,2578026297.0,2942546781.0,47.51,48.47,49.38,50.23
El Salvador,SLV,17986886200.0,17601616000.0,18447920000.0,20283780000.0,70.76,70.98,71.21,71.45
Serbia,SRB,52194221469.0,45162894381.0,41819468692.0,49258136129.0,73.89,73.99,74.34,74.54
Sub-Saharan Africa (excluding high income),SSA,1208800000000.0,1147230000000.0,1368770000000.0,1551470000000.0,55.15,55.93,56.7,57.43
South Sudan,SSD,15550136279.0,12231362023.0,15727363443.0,17826697892.0,53.6,54.22,54.8,55.32
Sub-Saharan Africa,SSF,1209760000000.0,1148080000000.0,1369740000000.0,1552540000000.0,55.17,55.96,56.73,57.46
Small states,SST,401592000000.0,343189000000.0,394373000000.0,477074000000.0,65.05,65.64,66.2,66.75
Sao Tome and Principe,STP,188021168.8,187821029.0,197454052.1,233213521.7,66.41,66.94,67.43,67.89
Suriname,SUR,3532961749.0,3875555556.0,4368398048.0,4422276622.0,69.91,70.21,70.46,70.68
Slovak Republic,SVK,100325000000.0,88945625174.0,89501012916.0,98181259740.0,74.7,74.91,75.11,75.96
Slovenia,SVN,55589849128.0,50244793832.0,48013606745.0,51290792018.0,78.77,78.97,79.42,79.97
Sweden,SWE,514585000000.0,430114000000.0,488909000000.0,563797000000.0,81.1,81.35,81.45,81.8
Eswatini,SWZ,3294093485.0,3580417067.0,4438778424.0,4820499924.0,44.17,45.28,46.6,48.14
Seychelles,SYC,967199594.0,847397850.1,969936525.3,1065826670.0,73.16,73.08,73.2,72.72
Chad,TCD,10351932604.0,9253484108.0,10657705536.0,12156380425.0,49.82,50.35,50.89,51.42
East Asia & Pacific (IDA & IBRD countries),TEA,5975960000000.0,6477920000000.0,7853670000000.0,9596180000000.0,72.54,72.83,73.11,73.4
Europe & Central Asia (IDA & IBRD countries),TEC,3915050000000.0,3105900000000.0,3639000000000.0,4423150000000.0,70.4,70.97,71.31,71.89
Togo,TGO,3310277927.0,3365711796.0,3426022206.0,3867391618.0,56.18,56.82,57.47,58.09
Thailand,THA,291383000000.0,281710000000.0,341105000000.0,370819000000.0,73.34,73.77,74.18,74.59
Tajikistan,TJK,5161337336.0,4979481980.0,5642178580.0,6522732203.0,67.91,68.36,68.74,69.06
Turkmenistan,TKM,19271523179.0,20214385965.0,22583157895.0,29233333333.0,66.03,66.36,66.66,66.93
Latin America & the Caribbean (IDA & IBRD countries),TLA,4402420000000.0,4123880000000.0,5152620000000.0,5877990000000.0,73.58,73.79,73.98,74.17
Timor-Leste,TLS,4391368105.0,3199666691.0,3998961314.0,5672048723.0,66.28,66.8,67.19,67.48
Middle East & North Africa (IDA & IBRD countries),TMN,1229020000000.0,1188830000000.0,1374750000000.0,1558160000000.0,71.58,71.8,72.01,72.2
Tonga,TON,349484427.6,318166562.8,369485198.8,423011844.3,69.92,69.98,70.06,70.15
South Asia (IDA & IBRD),TSA,1527500000000.0,1683490000000.0,2061060000000.0,2271880000000.0,66.01,66.43,66.85,67.26
Sub-Saharan Africa (IDA & IBRD countries),TSS,1209760000000.0,1148080000000.0,1369740000000.0,1552540000000.0,55.17,55.96,56.73,57.46
Trinidad and Tobago,TTO,27871587350.0,19172165226.0,22157948396.0,25433011405.0,71.46,71.71,71.95,72.17
Tunisia,TUN,44856586316.0,43454935940.0,44050929160.0,45810626509.0,74.72,74.88,75.04,75.21
Turkey,TUR,764336000000.0,644640000000.0,771902000000.0,832524000000.0,73.65,74.07,74.51,74.94
Tanzania,TZA,27941177435.0,29081425282.0,32014249841.0,34657139495.0,56.78,57.67,58.58,59.52
Uganda,UGA,14239026630.0,18168902154.0,20186496527.0,20176025257.0,54.98,56.06,57.1,58.09
Ukraine,UKR,179817000000.0,117113000000.0,136013000000.0,163160000000.0,68.25,69.19,70.27,70.81
Upper middle income,UMC,13583100000000.0,13078200000000.0,15856600000000.0,18969600000000.0,72.48,72.8,73.09,73.42
Uruguay,URY,30366213119.0,31660911277.0,40284481652.0,47962439304.0,76.44,76.6,76.75,76.88
United States,USA,14712800000000.0,14448900000000.0,14992100000000.0,15542600000000.0,78.04,78.39,78.54,78.64
Uzbekistan,UZB,29549438884.0,33689223673.0,39332770929.0,45915191189.0,69.19,69.44,69.67,69.91
St. Vincent and the Grenadines,VCT,695428851.9,674922481.5,681225963.0,676129407.4,71.64,71.72,71.78,71.83
"Venezuela, RB",VEN,315953000000.0,329788000000.0,393192000000.0,316482000000.0,73.07,73.12,73.13,73.11
Virgin Islands (U.S.),VIR,4250000000.0,4203000000.0,4339000000.0,4239000000.0,77.26,77.61,77.97,78.42
Vietnam,VNM,99130304099.0,106015000000.0,115932000000.0,135539000000.0,74.62,74.74,74.84,74.9
Vanuatu,VUT,607958616.1,610066628.7,700804286.2,792149700.7,68.82,68.97,69.12,69.27
World,WLD,63616100000000.0,60340100000000.0,66036900000000.0,73357400000000.0,69.9,70.25,70.56,70.88
Samoa,WSM,644132488.9,560959527.8,643046733.4,739785121.9,71.16,71.41,71.66,71.91
Kosovo,XKX,5687417607.0,5653792720.0,5830463576.0,6691826522.0,69.4,69.65,69.9,70.15
"Yemen, Rep.",YEM,26910851362.0,25130274124.0,30906749533.0,32726417878.0,64.89,65.26,65.55,65.77
South Africa,ZAF,286769000000.0,295937000000.0,375348000000.0,416417000000.0,55.36,56.46,57.67,58.9
Zambia,ZMB,17910858638.0,15328342304.0,20265556274.0,23460098340.0,52.61,54.13,55.66,57.13
Zimbabwe,ZWE,4415702800.0,9665793300.0,12041655200.0,14101920300.0,46.5,48.45,50.64,52.9
